[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round 122/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3285 | eps=88.336 | duree=0.102s
[server] round 123/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3298 | eps=88.697 | duree=0.084s
[server] round 124/230 | actifs= 4 | acc=0.881 prec=0.750 recall=0.117 F1=0.202 loss=0.3313 | eps=89.057 | duree=0.072s
[server] round 125/230 | actifs= 4 | acc=0.880 prec=0.706 recall=0.117 F1=0.200 loss=0.3309 | eps=89.415 | duree=0.067s
[server] round 126/230 | actifs= 4 | acc=0.880 prec=0.706 recall=0.117 F1=0.200 loss=0.3312 | eps=89.772 | duree=0.066s
[server] round 127/230 | actifs= 4 | acc=0.881 prec=0.700 recall=0.136 F1=0.228 loss=0.3318 | eps=90.128 | duree=0.074s
[server] round 128/230 | actifs= 4 | acc=0.880 prec=0.684 recall=0.126 F1=0.213 loss=0.3319 | eps=90.482 | duree=0.076s
[server] round 129/230 | actifs= 4 | acc=0.880 prec=0.667 recall=0.136 F1=0.226 loss=0.3329 | eps=90.835 | duree=0.046s
[server] round 130/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3322 | eps=91.186 | duree=0.057s
[server] round 131/230 | actifs= 4 | acc=0.880 prec=0.667 recall=0.136 F1=0.226 loss=0.3316 | eps=91.536 | duree=0.068s
[server] round 132/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3297 | eps=91.885 | duree=0.066s
[server] round 133/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3300 | eps=92.232 | duree=0.064s
[server] round 134/230 | actifs= 4 | acc=0.881 prec=0.700 recall=0.136 F1=0.228 loss=0.3309 | eps=92.578 | duree=0.065s
[server] round 135/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3316 | eps=92.923 | duree=0.065s
[server] round 136/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3317 | eps=93.267 | duree=0.071s
[server] round 137/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3334 | eps=93.609 | duree=0.075s
[server] round 138/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3354 | eps=93.950 | duree=0.081s
[server] round 139/230 | actifs= 4 | acc=0.881 prec=0.700 recall=0.136 F1=0.228 loss=0.3357 | eps=94.290 | duree=0.067s
[server] round 140/230 | actifs= 4 | acc=0.884 prec=0.727 recall=0.155 F1=0.256 loss=0.3341 | eps=94.628 | duree=0.107s
[server] round 141/230 | actifs= 4 | acc=0.884 prec=0.727 recall=0.155 F1=0.256 loss=0.3352 | eps=94.966 | duree=0.085s
[server] round 142/230 | actifs= 4 | acc=0.884 prec=0.727 recall=0.155 F1=0.256 loss=0.3367 | eps=95.302 | duree=0.07s
[server] round 143/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3376 | eps=95.637 | duree=0.099s
[server] round 144/230 | actifs= 4 | acc=0.882 prec=0.714 recall=0.146 F1=0.242 loss=0.3382 | eps=95.971 | duree=0.086s
[server] round 145/230 | actifs= 4 | acc=0.880 prec=0.667 recall=0.136 F1=0.226 loss=0.3388 | eps=96.303 | duree=0.093s
[server] round 146/230 | actifs= 4 | acc=0.881 prec=0.682 recall=0.146 F1=0.240 loss=0.3378 | eps=96.635 | duree=0.095s
[server] round 147/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3363 | eps=96.965 | duree=0.087s
[server] round 148/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3350 | eps=97.294 | duree=0.1s
[server] round 149/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3333 | eps=97.622 | duree=0.072s
[server] round 150/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3333 | eps=97.950 | duree=0.08s
[server] round 151/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3333 | eps=98.275 | duree=0.073s
[server] round 152/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3324 | eps=98.600 | duree=0.051s
[server] round 153/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3323 | eps=98.924 | duree=0.069s
[server] round 154/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3320 | eps=99.247 | duree=0.067s
[server] round 155/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3338 | eps=99.569 | duree=0.08s
[server] round 156/230 | actifs= 4 | acc=0.882 prec=0.696 recall=0.155 F1=0.254 loss=0.3340 | eps=99.889 | duree=0.102s
[server] round 157/230 | actifs= 4 | acc=0.881 prec=0.667 recall=0.155 F1=0.252 loss=0.3344 | eps=100.209 | duree=0.051s
[server] round 158/230 | actifs= 4 | acc=0.881 prec=0.667 recall=0.155 F1=0.252 loss=0.3344 | eps=100.528 | duree=0.074s
[server] round 159/230 | actifs= 4 | acc=0.881 prec=0.667 recall=0.155 F1=0.252 loss=0.3344 | eps=100.845 | duree=0.064s
[server] round 160/230 | actifs= 4 | acc=0.881 prec=0.667 recall=0.155 F1=0.252 loss=0.3344 | eps=101.162 | duree=0.068s
[server] round 161/230 | actifs= 4 | acc=0.880 prec=0.652 recall=0.146 F1=0.238 loss=0.3349 | eps=101.477 | duree=0.09s
[server] round 162/230 | actifs= 4 | acc=0.881 prec=0.667 recall=0.155 F1=0.252 loss=0.3352 | eps=101.792 | duree=0.046s
